cod_prod;nome_abrev;nome_completo;descricao;categoria;sub_categoria;marca;conteudo_valor;conteudo_medida
30179342434;Hypnotic Poison Eau De;Hypnotic Poison Roller-Pearl Eau De Toilette;Perfume Dior Hypnotic Poison Roller-Pearl Eau De Toilette  para Corpo;Corpo;Perfume;Dior;20.0;ml
66396206730;Sauvage Shower Gel;Sauvage Shower Gel;Perfume Dior Sauvage Shower Gel  para Corpo;Corpo;Perfume;Dior;255.0;ml
33376613543;Hair Mist;J'adore Hair Mist;Perfume Dior J'adore Hair Mist  para Corpo;Corpo;Perfume;Dior;40.0;ml
114048868505;Eau Eau de Toile;J'adore Eau Lumiï¿½ï¿½ï¿½ï¿½ï¿½ï¿½re Eau de Toile;Perfume Dior J'adore Eau Lumiï¿½ï¿½ï¿½ï¿½ï¿½ï¿½re Eau de Toile  para Corpo;Corpo;Perfume;Dior;18.0;ml
67090255895;Miss Dior Eau de;Miss Dior Eau de Parfum Roller-Pearl;Perfume Dior Miss Dior Eau de Parfum Roller-Pearl  para Corpo;Corpo;Perfume;Dior;18.0;ml
248880943905;Eau De Parfum;J'adore Eau De Parfum Roller-Pearl;Perfume Dior J'adore Eau De Parfum Roller-Pearl  para Corpo;Corpo;Perfume;Dior;20.0;ml
862101588593;Miss Dior Perfumed Deodorant;Miss Dior Perfumed Deodorant;Perfume Dior Miss Dior Perfumed Deodorant  para Corpo;Corpo;Perfume;Dior;100.0;ml
145844671488;Miss Dior Perfumed Deodorant;Miss Dior Perfumed Deodorant;Perfume Dior Miss Dior Perfumed Deodorant  para Corpo;Corpo;Perfume;Dior;100.0;ml
890491444274;Joy Dior Perfumed Deodorant;Joy By Dior - Perfumed Deodorant;Perfume Dior Joy By Dior - Perfumed Deodorant  para Corpo;Corpo;Perfume;Dior;100.0;ml
604294910511;Joy Dior Perfumed Deodorant;Joy By Dior - Perfumed Deodorant;Perfume Dior Joy By Dior - Perfumed Deodorant  para Corpo;Corpo;Perfume;Dior;100.0;ml
293341574297;Perfumed Deodorant;J'Adore Perfumed Deodorant;Perfume Dior J'Adore Perfumed Deodorant  para Corpo;Corpo;Perfume;Dior;100.0;ml
403118967263;Perfumed Deodorant;J'Adore Perfumed Deodorant;Perfume Dior J'Adore Perfumed Deodorant  para Corpo;Corpo;Perfume;Dior;100.0;ml
313596270420;Body Mist;J'adore Body Mist;Perfume Dior J'adore Body Mist  para Corpo;Corpo;Perfume;Dior;100.0;ml
915865504351;Eau de Parfum Infinissime;J'adore Eau de Parfum Infinissime Roller-Pearl;Perfume Dior J'adore Eau de Parfum Infinissime Roller-Pearl  para Corpo;Corpo;Perfume;Dior;18.0;ml
